TimeStep,Station_PM,occu
89,15,0.05025
89,16,0.034625
90,0,0.00575
90,1,0.019625
90,2,
90,3,
90,4,0.036375000000000005
90,5,
90,6,
90,7,0.031
90,8,
90,9,0.0155
90,10,
90,11,0.070125
90,12,
90,13,0.034125
90,14,0.041874999999999996
90,15,0.016625
90,16,0.042124999999999996
91,0,0.064
91,1,0.009375000000000001
91,2,
91,3,
91,4,0.035625
91,5,
91,6,
91,7,0.031875
91,8,
91,9,0.04616666666666667
91,10,
91,11,0.034375
91,12,
91,13,0.019375
91,14,0.028000000000000004
91,15,0.046625
91,16,0.024999999999999998
92,0,0.020999999999999998
92,1,0.037
92,2,
92,3,
92,4,0.021833333333333333
92,5,
92,6,
92,7,0.031
92,8,
92,9,0.019625
92,10,
92,11,0.022625
92,12,
92,13,0.06825
92,14,0.023375
92,15,0.047875
92,16,0.04675
93,0,0.017750000000000002
93,1,0.029750000000000002
93,2,
93,3,
93,4,0.0315
93,5,
93,6,
93,7,0.044125
93,8,
93,9,0.042625
93,10,
93,11,0.030375000000000003
93,12,
93,13,0.03924999999999999
93,14,0.058499999999999996
93,15,0.022875
93,16,0.030124999999999996
94,0,0.0405
94,1,0.020166666666666666
94,2,
94,3,
94,4,0.010124999999999999
94,5,
94,6,
94,7,0.020125
94,8,
94,9,0.032125
94,10,
94,11,0.0235
94,12,
94,13,0.018625
94,14,0.019625
94,15,0.061375
94,16,0.028624999999999998
95,0,0.02275
95,1,0.03283333333333333
95,2,
95,3,
95,4,0.034625
95,5,
95,6,
95,7,0.018125
95,8,
95,9,0.04
95,10,
95,11,0.045
95,12,
95,13,0.035125
95,14,0.02025
95,15,0.03225
95,16,0.06075
96,0,0.009250000000000001
96,1,0.01175
96,2,
96,3,
96,4,0.0375
96,5,
96,6,
96,7,0.025500000000000002
96,8,
96,9,0.032375
96,10,
96,11,0.0295
96,12,
96,13,0.013749999999999998
96,14,0.025
96,15,0.019625
96,16,0.026875
97,0,0.037875
97,1,0.011375
97,2,
97,3,
97,4,0.028499999999999998
97,5,
97,6,
97,7,0.015875
97,8,
97,9,0.0255
97,10,
97,11,0.039999999999999994
97,12,
97,13,0.053
97,14,0.019
97,15,0.035750000000000004
97,16,0.024875
98,0,0.022375
98,1,0.015666666666666666
98,2,
98,3,
98,4,0.0385
98,5,
98,6,
98,7,0.051625000000000004
98,8,
98,9,0.03625
98,10,
98,11,0.03525
98,12,
98,13,0.039
98,14,0.05025
98,15,0.01575
98,16,0.034999999999999996
99,0,0.013
99,1,0.024333333333333332
99,2,
99,3,
99,4,0.019
99,5,
99,6,
99,7,0.029249999999999998
99,8,
99,9,0.0115
99,10,
99,11,0.033
99,12,
99,13,0.03912499999999999
99,14,0.033
99,15,0.056375
99,16,0.031125
100,0,0.04175
100,1,0.0011666666666666668
100,2,
100,3,
100,4,0.015625
100,5,
100,6,
100,7,0.0205
100,8,
100,9,0.043375000000000004
100,10,
100,11,0.047999999999999994
100,12,
100,13,0.058499999999999996
100,14,0.0305
100,15,0.0455
100,16,0.043125
101,0,0.024625
101,1,0.02766666666666667
101,2,
101,3,
101,4,0.01175
101,5,
101,6,
101,7,0.034
101,8,
101,9,0.032125
101,10,
101,11,0.01425
101,12,
101,13,0.031125
101,14,0.0385
101,15,0.032625
101,16,0.040375
102,0,0.00975
102,1,0.02325
102,2,
102,3,
102,4,0.045250000000000005
102,5,
102,6,
102,7,0.01675
102,8,
102,9,0.04325
102,10,
102,11,0.039875
102,12,
102,13,0.04775
102,14,0.022
102,15,0.05499999999999999
102,16,0.05525000000000001
103,0,0.027125
103,1,0.008
103,2,
103,3,
103,4,0.024875
103,5,
103,6,
103,7,0.01125
103,8,
103,9,0.0435
