TimeStep,Station_Number,k_t
13.0,124.0,0.06627936
13.0,122.0,0.09137357
13.0,109.0,0.28002322
13.0,107.0,0.25995028
13.0,97.0,-0.45761624
13.0,89.0,-0.3169701
13.0,74.0,0.10840744
13.0,136.0,-0.076637484
13.0,99.0,-0.27353787
13.0,79.0,0.10058279
13.0,199.0,0.09505127
13.0,297.0,-0.15400498
13.0,23.0,0.053535543
13.0,0.0,0.082594305
13.0,17.0,0.10223678
13.0,5.0,-0.11503826
13.0,12.0,0.19303694
13.0,7.0,0.018967384
13.0,10.0,0.012614727
13.0,45.0,-0.4853962
13.0,157.0,-0.38353533
13.0,175.0,0.0139568355
13.0,247.0,-0.14926478
13.0,234.0,-0.027933268
13.0,268.0,-0.42529127
13.0,264.0,-0.38741454
13.0,226.0,0.014172511
13.0,229.0,0.0005080607
13.0,212.0,0.05983167
13.0,196.0,0.101985246
13.0,220.0,0.036225297
13.0,170.0,-0.09530265
13.0,148.0,-0.29666698
13.0,77.0,0.10937067
13.0,161.0,-0.3334437
13.0,132.0,-0.025465146
13.0,128.0,0.020226568
13.0,117.0,0.16668512
13.0,92.0,-0.5270814
13.0,69.0,0.08797723
13.0,65.0,0.060018532
13.0,22.0,-0.009570765
13.0,52.0,-0.9142418
13.0,60.0,0.03145514
13.0,56.0,0.067354
13.0,58.0,0.044175316
13.0,75.0,0.110040486
14.0,294.0,-0.76304096
14.0,181.0,-0.04033095
14.0,152.0,-0.18804972
14.0,118.0,0.2027786
14.0,286.0,-0.6238573
14.0,281.0,-0.49512783
14.0,276.0,-0.36930427
14.0,272.0,-0.2815895
14.0,258.0,-0.08192302
14.0,256.0,-0.064263046
14.0,252.0,-0.034540094
14.0,224.0,0.060994454
14.0,216.0,0.07577794
14.0,208.0,0.09172387
14.0,207.0,0.0937286
14.0,201.0,0.103928514
14.0,192.0,0.09582828
14.0,186.0,0.04711321
14.0,173.0,-0.25334758
14.0,144.0,-0.058789782
14.0,124.0,0.124456815
14.0,122.0,0.14872032
14.0,109.0,0.06391717
14.0,107.0,-0.11665596
14.0,97.0,-0.4766447
14.0,89.0,0.013233962
14.0,74.0,0.07923536
14.0,136.0,0.017456552
14.0,99.0,-0.54981023
14.0,79.0,0.09736766
14.0,199.0,0.10574435
14.0,297.0,-0.76955444
14.0,23.0,-0.14305678
14.0,0.0,0.06566496
14.0,17.0,0.05645487
14.0,5.0,-0.08135166
14.0,12.0,0.017413437
14.0,7.0,0.004803347
14.0,10.0,0.02061921
14.0,45.0,-0.5468341
14.0,157.0,-0.28951824
14.0,175.0,-0.19806615
14.0,247.0,-0.0058417516
14.0,234.0,0.040144973
14.0,268.0,-0.20836067
14.0,264.0,-0.14905754
14.0,226.0,0.05725245
14.0,229.0,0.05135446
14.0,212.0,0.083615944
14.0,196.0,0.10544108
14.0,220.0,0.0683177
14.0,170.0,-0.3242926
14.0,148.0,-0.11539621
14.0,77.0,0.09146606
14.0,161.0,-0.3554723
14.0,132.0,0.049100183
14.0,128.0,0.08332693
14.0,117.0,0.21547808
14.0,92.0,-0.13143198
14.0,69.0,0.04944188
14.0,65.0,0.019469175
14.0,22.0,-0.24259976
14.0,52.0,-1.2518106
14.0,60.0,0.04127295
14.0,56.0,0.07564193
14.0,58.0,0.0914312
14.0,75.0,0.08373193
15.0,294.0,-0.5548048
15.0,181.0,-0.256606
15.0,152.0,-0.037330993
15.0,118.0,0.17403568
15.0,286.0,-0.35563582
15.0,281.0,-0.2218054
15.0,276.0,-0.12911779
15.0,272.0,-0.08142778
15.0,258.0,-0.0015942929
15.0,256.0,0.0049344283
15.0,252.0,0.016393635
15.0,224.0,0.07043041
15.0,216.0,0.084217
15.0,208.0,0.093619555
15.0,207.0,0.093730226
15.0,201.0,0.08252989
15.0,192.0,-0.009786161
15.0,186.0,-0.13918222
15.0,173.0,-0.3464764
